,name
447,deliveries-in-moh-hospitals-by-type-of-delivery-and-region-1438h-2017
448,long-stay-patients-of-moh-hospitals-by-region-1438h-2017g
449,primary-health-care-centers-visits-and-outpatients-of-moh-hospitals-by-region-nationality
450,primary-health-care-centers-visits-moh-by-region-clinic-nationality-1438h-201
451,physicians-and-dentists-in-ksa-health-sectors-by-speciality-and-professional-categories-1439h-2018g
452,hospitals-and-beds-in-ksa-health-sectors-by-region-1439h-2018g
453,morbidity-indicators-of-some-immunization-targeted-diseases
454,health-resources-indicators
455,economic-indicators
456,1441-1440-number-of-trainees-in-ipa
457,activities-of-control-health-centers-at-entry-points-preventive-care-1439h-2018g
458,environmental-health-activities-in-moh-1439h-2018g
459,health-education-activities-moh-1439h-2018g
460,food-borne-outbreaks-by-source-of-infection-sex-nationality-age-group-and-region-2018-g
461,chemical-and-drug-intoxication-by-sex-nationality-and-region-2018-g
462,notified-malaria-cases-in-endemic-zones-ksa-by-region-and-months-2018g
463,reported-bilharzial-cases-by-region-type-of-disease-nationality-sex-and-age-group-2018g
464,reported-cases-of-cutaneous-leishmaniasis-by-region-nationality-sex-residence-and-age-group-2018g
465,reported-cases-of-cutaneous-leishmaniasis-by-month-nationality-sex-residence-and-age-group-2018g
466,notified-malaria-cases-in-endemic-zones-ksa-by-age-group-2018g
467,notified-malaria-cases-by-region-type-of-parasite-2018g
468,reported-cases-and-incidence-rates-of-certainnotifiablecommunicablediseasesinthelastfiveyears
469,reported-cases-of-notifiable-communicable-diseases-by-nationality-sex-incidence-rate-2018g
470,reported-cases-of-notifiable-communicable-diseases-by-month-2018g
471,reported-cases-of-notifiable-communicable-diseases-by-region-2018g
472,immunizationcoveragein2018gandtheincidenceofvaccinationtargetdiseasesforthelastfiveyears
473,cbahi-accredited-moh-hospitals-by-the-end-of-2018-g-1439h
474,physiciansanddentistsintheprivatesectorbyspecialityprofessionalcategoriesandregion1439h2018g
475,health-manpower-in-private-sector-polyclinics-by-category-sex-nationality-and-region-1439-h-2018g
476,private-sector-hospitals-polyclinics-beds-and-other-medical-facilities-by-region-1439h-2018g
477,physicians-and-dentists-in-moh-primary-health-care-centers-by-main-specialities-1439h2018g
478,physicians-and-dentists-moh-hospitals-by-speciality-professional-categories-and-region-1439h-2018g
479,moh-hospitals-by-bed-capacity-and-region-1439h-2018g
480,permanent-and-seasonal-health-facilities-in-hajj-season-1439h-2018g
481,deaths-in-ksa-by-administrative-regions-2018g
482,approximate-no-of-meals-served-in-moh-hospitals-by-region-1439h-2018g
483,cases-referred-to-social-service-departement-1439h-2018g
484,cases-sent-abroad-for-treatment-by-medical-case-and-country-1439h-2018g
485,distributionofresolutionsofmedicalmalpracticedeathcasesissuedbythemedicolegalcommittees1439h2018g
486,medical-malpractice-cases-referred-to-medico-legal-committees-in-1439h-2018g
487,distribution-of-medico-legal-committees-1439h-2018g
488,cases-of-forensic-medicine-centers-moh-by-region-and-different-examinations-1439h-2018g
489,activities-of-blood-banks-in-other-governmental-sector-1439h-2018g
490,activities-of-blood-banks-in-moh-by-region-1439h-2018g
491,laboratory-investigations-and-radiology-patients-in-private-polyclinics-and-hospitals-439h-2018g
492,laboratory-and-radiology-investigations-in-other-governmental-sector-1439-h-2018g
493,laboratory-investigations-in-moh-hospitals-by-region-and-type-of-investigations-1439h-2018g
494,laboratory-investigations-and-radiology-patients-moh-hospitals-by-region-1439h-2018g
495,laboratory-investigations-and-radiology-patients-in-primary-health-care-centers-1439h2018g
496,medical-rehabilitation-centers-cases-other-governmental-sector-1439-h-2018g
497,amputation-cases-in-medical-rehabilitation-centers-departments-moh-by-sex-1439h2018g
498,cases-of-tumours-among-children-referred-to-king-faisal-specialist-hospital1439h-2018g
499,surgical-interventions-in-moh-hospitals-by-region-and-hospital-sections-1439h-2018-g
500,births-in-other-governmental-sector-hospitals-by-birth-status-1439-h-2018g
